,Region,Happiness Score,GDP,Family,Health,Freedom,Corruption,Generosity,Status
73,Central and Eastern Europe,5.606199961090089,0.8782828764305114,1.014490700645446,0.609754410041809,0.31774758810043335,0.03987032361125946,0.28379028950119023,Feliz
74,Middle East and Northern Africa,6.148600003814698,1.555662490341186,1.184643749717712,0.6951431416244505,0.5059975185203551,0.18218791006183618,0.17184395958042137,Feliz
75,Central and Eastern Europe,5.173400037384034,0.5423880152168274,1.27074571823883,0.6151655593147277,0.4679666777400969,0.03747583580064774,0.338840074705124,Feliz
76,Southeastern Asia,4.79275,0.68877,0.8379325,0.481,0.5726475000000001,0.20117999999999997,0.33717749999999996,Infeliz
77,Central and Eastern Europe,5.676199980926514,1.185349724960328,1.27391698839569,0.697091394165039,0.3058755824890136,0.07121254532957079,0.13535695721340177,Feliz
78,Middle East and Northern Africa,5.149599980926514,1.0350615061416621,0.9948948495101921,0.7872522153244018,0.32179119700241077,0.05538876595354081,0.2199841517391204,Feliz
79,Sub-Saharan Africa,4.898,0.37545,1.04103,0.07612000000000001,0.31767,0.12504,0.16388,Infeliz
80,Sub-Saharan Africa,3.8391999984741227,0.08926035860967639,0.7890655873222353,0.3027156393594742,0.332934236486435,0.042557649814367306,0.237959977054596,Infeliz
81,Middle East and Northern Africa,5.597000019073485,1.065826612869262,1.215988866020202,0.5946018039398193,0.4402266460227966,0.12124604203605653,0.1509787332906724,Feliz
82,Central and Eastern Europe,5.929799990081788,1.233202469573974,1.367415221321106,0.708193988040924,0.25558835698795324,0.01767512857061624,0.025164931335270403,Feliz
83,Western Europe,6.935999983215332,1.6376747195587158,1.343240733169556,0.9034898990364073,0.5838315782127379,0.337420884803772,0.2458461963748932,Feliz
84,Central and Eastern Europe,5.122000047683715,0.9903469842815401,1.0578932534885401,0.679694546122551,0.33278899466991424,0.05900444838911295,0.22135524091959,Feliz
85,Sub-Saharan Africa,3.745400010681152,0.2659177386341094,0.7732360744781493,0.43410466176033025,0.1773753530845642,0.06270639509916306,0.1932925060949326,Infeliz
86,Sub-Saharan Africa,3.883000005722046,0.14271440765953064,0.43438176628875735,0.32706991667938246,0.4571509307556152,0.07742433080148696,0.271226093952179,Infeliz
87,Southeastern Asia,5.904000022125244,1.209899083953858,1.132825206848144,0.6926768855285643,0.43736299649238575,0.06888414162540436,0.3466197859268188,Feliz
88,Sub-Saharan Africa,4.219000011444092,0.36096809876632696,1.1036126796417238,0.19973313485145563,0.3329247486610412,0.09459204931068418,0.1747948397865296,Infeliz
89,Western Europe,6.533999990081787,1.2856999677124021,1.386846332992554,0.8790608473510743,0.5902714103393554,0.1514932137775422,0.4811241150169372,Feliz
90,Sub-Saharan Africa,4.354999963378907,0.5686874577484129,1.0789061660766601,0.34229585592842093,0.132043608604908,0.1344234009332656,0.17754600484085079,Infeliz
91,Sub-Saharan Africa,5.7066000373840335,1.11014510938263,1.148144198066712,0.6982794924049378,0.519071465227127,0.05588431103634833,0.31357675017356884,Feliz
92,Latin America and Caribbean,6.725200013732911,1.079360763572692,1.0829944319458,0.7715697995414732,0.4367260016727448,0.13948882292175296,0.10441608655977239,Feliz
93,Central and Eastern Europe,5.758599964141846,0.6714241260528564,1.1454851142120361,0.6179630401802063,0.2595858097696304,0.009054257230520241,0.19405182528114323,Feliz
94,Eastern Asia,5.02919998474121,0.941191173118592,1.3862882472381597,0.5914306968917845,0.3804247937641144,0.03248245783638954,0.3008308460597992,Feliz
95,Central and Eastern Europe,5.291999997711182,1.0483778071899421,1.1051352996444699,0.725600934703827,0.1969398110790252,0.10386883881950379,0.1568442048187256,Feliz
96,Middle East and Northern Africa,5.172200026702879,0.8066969162216185,0.6761528870391846,0.650592133808136,0.3919056664218902,0.08145263656377792,0.04129199103116991,Feliz
97,Sub-Saharan Africa,4.971,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,Infeliz
98,Southeastern Asia,4.383000015258789,0.474262110080719,0.9774191881866461,0.45255651374053957,0.4973164069824218,0.18631724093341823,0.723533032196045,Infeliz
99,Sub-Saharan Africa,4.556999970436094,0.9125760814237596,1.0990227017688752,0.382015452849865,0.4816108868455888,0.0792817430895567,0.06902093623876572,Infeliz
100,Southern Asia,4.812399978637695,0.43141003837203984,1.038952652259826,0.5579201561393738,0.4316491896514892,0.07382510922431947,0.3371312331790924,Infeliz
101,Western Europe,7.4045999710083,1.4110129270782479,1.349645844657898,0.8785692250061036,0.5896508976211547,0.29861436508369443,0.4151499659557342,Feliz
102,Australia and New Zealand,7.313000025939942,1.3175092096023557,1.439729024734498,0.8916179411087036,0.6177824260902404,0.4000153404254914,0.43280502519989017,Feliz
103,Latin America and Caribbean,6.027400019836426,0.6772778407745361,1.193653141937256,0.716673192123413,0.4860243693008422,0.14835559636878962,0.2571108433971406,Feliz
104,Sub-Saharan Africa,4.104599975585939,0.12660506615161898,0.8023950009727479,0.28283900140571594,0.385797739282608,0.13354458923816678,0.1990487691059112,Infeliz
105,Sub-Saharan Africa,5.127399976348877,0.7150532512207033,1.009614096603394,0.11221314604759217,0.380966513086319,0.03398431321442128,0.2302934392967224,Feliz
106,Western Europe,5.758666647593181,1.2887937703832,1.0248811257171633,0.8665424127515157,0.46581120840072626,0.15464445080916098,0.26391856770833333,Feliz
107,Western Europe,7.541000035858154,1.519380636871338,1.431074711914062,0.8733333005905152,0.6380485174789428,0.34395076690483106,0.328990447462082,Feliz
108,Middle East and Northern Africa,6.853,1.36011,1.08182,0.76276,0.63274,0.32524000000000003,0.21541999999999997,Feliz
109,Southern Asia,5.344000010681151,0.667894706123352,0.6088301379127502,0.45575355662727357,0.229891052315712,0.1157576133494378,0.2800012038345336,Feliz
110,Middle East and Northern Africa,4.736600019073486,0.6568318455047608,1.0523034317245479,0.6136513947181703,0.233628212343216,0.09329252041435242,0.1054446347808838,Infeliz
111,Latin America and Caribbean,6.53800002822876,1.1482676871948239,1.2881625097503662,0.7760232269210816,0.5388793668022156,0.0729827847943306,0.186139387848854,Feliz
112,Latin America and Caribbean,5.666600006103516,0.8552234634552001,1.38403297593689,0.6430361386642456,0.5059695583515168,0.0802891826877594,0.2331021315307618,Feliz
113,Latin America and Caribbean,5.728400030517578,0.96508705443573,1.105782076957702,0.7036552226753234,0.4449965757808686,0.04417181730818748,0.11938194298076618,Feliz
114,Southeastern Asia,5.387399965667724,0.7914378430824279,1.154569514976502,0.5379018109321595,0.5920409348945617,0.11033837860536574,0.1794326846408844,Feliz
115,Central and Eastern Europe,5.980800009918212,1.2090375725555418,1.331608394065856,0.7668170695991516,0.5064924223175049,0.05408556123876572,0.1390971933164596,Feliz
116,Western Europe,5.304600034332276,1.23203105897522,1.2620126036682122,0.8695327083244324,0.5060850599212646,0.01677189033734798,0.09024054250240325,Feliz
117,Latin America and Caribbean,7.039,1.35943,1.08113,0.77758,0.46823000000000004,0.12275,0.22202,Feliz
118,Middle East and Northern Africa,6.4218,1.743691137207032,1.1697073759536738,0.7687316175575256,0.6040641966705322,0.35597385112190244,0.2912167740077972,Feliz
119,Central and Eastern Europe,5.698399961853028,1.14176678226471,1.043000258094788,0.7362156624641418,0.4329607484912872,0.004733580139786007,0.1141779835453034,Feliz
120,Central and Eastern Europe,5.798599964141846,1.197139619430542,1.337812477737426,0.6263038667526246,0.36007862231445326,0.030974576205730436,0.04572276448130608,Feliz
121,Sub-Saharan Africa,3.4385999912261958,0.322057178647995,0.7884534046287536,0.41754296146202075,0.5816107705993653,0.4734680027713776,0.22631120587348938,Infeliz
122,Middle East and Northern Africa,6.37599997253418,1.439512711036682,1.1813795197906498,0.6662136659469604,0.4174541144886016,0.231550450958252,0.12344920277690878,Feliz
123,Sub-Saharan Africa,4.393999969482422,0.433285804485321,1.036208382148742,0.45066657051467895,0.35084045334434505,0.09868008959341038,0.1747857786340714,Infeliz
124,Central and Eastern Europe,5.339199996185302,1.000643515853882,1.1666239594802859,0.7167889342613221,0.22739310564994822,0.038492756121873854,0.17816117676353457,Feliz
125,Sub-Saharan Africa,4.5592000221252444,0.317502185743332,0.844369208995819,0.04951295077949762,0.33958953819274895,0.06778303520822526,0.24737818028450018,Infeliz
126,Southeastern Asia,6.542800005340576,1.592137533981324,1.2310788726959219,1.0141864789848327,0.553412113899231,0.46725555700683596,0.30321519629669175,Feliz
127,Central and Eastern Europe,6.108400009918212,1.246006711509704,1.3797458484497078,0.7724845822219847,0.3070474929180146,0.02319817032790184,0.13656889618396761,Feliz
128,Central and Eastern Europe,5.887999979400634,1.2605311909103398,1.3622997641525258,0.8529416455993651,0.5819531615142822,0.045469795757770534,0.21146181865406044,Feliz
129,Sub-Saharan Africa,5.060250005722045,0.00566079607233405,0.6168203379821777,0.1529122842782735,0.6007267389965056,0.2865525809049608,0.26122032779455173,Feliz
130,Sub-Saharan Africa,5.0569999999999995,0.25558000000000003,0.75862,0.33108000000000004,0.3913,0.36794,0.51479,Feliz
131,Sub-Saharan Africa,5.0569999999999995,0.18847,0.95152,0.43873,0.46581999999999996,0.39928,0.5031800000000001,Feliz
132,Sub-Saharan Africa,4.67519999923706,0.9798697411346439,1.2581997264785758,0.28981401407527924,0.428229347114563,0.07129989948081969,0.1257304759817124,Infeliz
133,Eastern Asia,5.885399964141846,1.314553688591004,1.046190888153076,0.9486088152084349,0.24893633318138125,0.06520253371810913,0.1860968734378814,Feliz
134,Sub-Saharan Africa,3.3825000200271598,0.3585471564388275,0.4923782819366455,0.198324000968933,0.11642060893654825,0.11098587832450874,0.24266520422458648,Infeliz
135,Western Europe,6.351399975585938,1.298807572868348,1.3994661804656983,0.9501081199798584,0.4109482460899354,0.06985281942605973,0.1688107143249512,Feliz
136,Southern Asia,4.392600011444092,0.937054028877258,1.141171277404786,0.6912521664390564,0.5323286509857178,0.06841679323768615,0.3839847123260498,Infeliz
137,Sub-Saharan Africa,4.24174998474121,0.60406917304039,1.0718321424293524,0.3173227059531213,0.0329514638198167,0.10470937999844548,0.1719268626606465,Infeliz
138,Latin America and Caribbean,6.269,1.0461,0.8753299999999999,0.558765,0.5594549999999999,0.131625,0.16827999999999999,Feliz
139,Sub-Saharan Africa,4.867,0.71206,1.07284,0.07566,0.30658,0.0306,0.18259,Infeliz
140,Western Europe,7.319199983978272,1.403981453804016,1.3685744338912962,0.8989910316619873,0.6175808197937013,0.39750174572181696,0.336511850435257,Feliz
141,Western Europe,7.511399991607666,1.472163910644532,1.417332349014282,0.9283182578964233,0.6206421153335573,0.3797634570713044,0.2774318556518554,Feliz
142,Middle East and Northern Africa,3.292199978637696,0.6991086268692015,0.3559305214500428,0.5662806684722901,0.08169988892507554,0.1595474261074066,0.4312847456474304,Infeliz
143,Eastern Asia,6.391,1.3553175000000002,1.2171025,0.8604875,0.3725425,0.0806475,0.2254275,Feliz
144,Central and Eastern Europe,5.097799977874756,0.4741067270889282,1.02942265499115,0.5900430249176025,0.41176134137916554,0.12203742924880981,0.2311435287179946,Feliz
145,Sub-Saharan Africa,3.465999995422364,0.4397771752357483,0.939379960662842,0.3967318568992614,0.3868795555362702,0.08369902135562894,0.3117492723445892,Infeliz
146,Southeastern Asia,6.28659995727539,1.050013754310608,1.3123204911346438,0.7139778058815002,0.5652741463508606,0.029762547048330302,0.4916766220588684,Feliz
147,Sub-Saharan Africa,3.5441999771118162,0.26587094348144535,0.3235665060901642,0.288529113729477,0.36374722772789003,0.10096900305604932,0.1747752301416398,Infeliz
148,Latin America and Caribbean,6.168000073750814,1.2996353002548233,1.1831528398132332,0.553631097208659,0.5206669143422443,0.010924938702781996,0.3210288205273947,Feliz
149,Middle East and Northern Africa,4.728399965667724,0.9373271612396239,0.7620582919006349,0.6903824098014831,0.24517813791465765,0.07000062976455687,0.05047267143988611,Infeliz
150,Middle East and Northern Africa,5.4154,1.151034874801636,1.18024863533783,0.7021011215019225,0.25735611992645263,0.11912231597948073,0.08105860838413238,Feliz
151,Central and Eastern Europe,5.582200005340576,1.047483352592468,1.365799832267762,0.5181292160835266,0.41589038580513,0.1834760680408478,0.21767699751091,Feliz
152,Sub-Saharan Africa,4.020199970245362,0.31872814306449904,1.066325547561646,0.2864985213251114,0.4285971910572052,0.0630319437675476,0.2796892113552094,Infeliz
153,Central and Eastern Europe,4.307200038909912,0.835918389881134,1.28288951361847,0.6368167904243471,0.16875895514631284,0.01838589416325092,0.20008829262351982,Infeliz
154,Middle East and Northern Africa,6.736749940872192,1.5325333423709875,1.1433250578975676,0.7727445590925217,0.602516317539215,0.3119823909258842,0.288282986626625,Feliz
155,Western Europe,6.910000045013429,1.337566787948608,1.3679320160293582,0.8817351877861022,0.5037600071640014,0.2440176132507324,0.4246908317432404,Feliz
156,North America,6.998800006103517,1.455945856803894,1.3285701127395622,0.8216153255538939,0.5068821046676636,0.14084375766849522,0.3550797561302186,Feliz
157,Latin America and Caribbean,6.4311999992370605,1.135557939048768,1.315311573806762,0.7829293647155762,0.574978450870514,0.18851637454414363,0.1690113858146668,Feliz
158,Central and Eastern Europe,6.0462000389099115,0.7237582175445556,1.434099829917908,0.5917245255184174,0.6559877325897217,0.2674236446313858,0.32752272942161553,Feliz
159,Latin America and Caribbean,5.5314,1.052468240196228,1.323263518997192,0.6837408454055786,0.213709424648285,0.07144422459220887,0.05718592597913742,Feliz
160,Southeastern Asia,5.154599976348876,0.723415515094757,1.138384266220092,0.7226997978363039,0.577207118221283,0.09192064744853974,0.19566361026287077,Feliz
161,Middle East and Northern Africa,3.6257999870300304,0.4893126894721984,0.8654484493942259,0.36544018313789356,0.244174744421959,0.06704548454117774,0.09692904183053981,Infeliz
162,Sub-Saharan Africa,4.584399987792968,0.5717613558578492,0.932381459754944,0.3027611789646148,0.46209869849967966,0.09733671003007886,0.2184300289764404,Infeliz
163,Sub-Saharan Africa,4.006600000000001,0.3440513069934844,1.007727181632996,0.2744027507781982,0.3232568414020538,0.08999707628202439,0.1694086987543106,Infeliz
